"company","postcode","city","country","Physical_Address","PIN_VAT","phone","email","salesman","Contact_Name","Contact_Designation","Contact_Telephone","Contact_email","Alt_Contact_Name","Alt_Contact_Designation","Alt_Contact_Telephone","Alt_Contact_email","createdby","Date_Created","Last_Activity","pkey"
"KIBSE HARDWARE","","NAIROBI             ","Kenya               ","RUIRU","0","0777123196     ","","Sr7       ","","","               ","","","","               ","","Rose                ","5/6/2022 2:18:57 PM","5/6/2022 2:18:57 PM","31"
"CENTRAL HARDWARE","","NAIROBI             ","Kenya               ","RUIRU","0","0721750790     ","","Sr7       ","","","               ","","","","               ","","Rose                ","5/6/2022 2:24:52 PM","5/6/2022 2:24:52 PM","32"
"RUIRU HARDWARE","","NAIROBI             ","Kenya               ","RUIRU","0","0736900700     ","","Sr7       ","","","               ","","","","               ","","Rose                ","5/6/2022 2:27:44 PM","5/6/2022 2:27:44 PM","33"
"RUIRU TIMBER &amp; HARDWARE","","NAIROBI             ","Kenya               ","RUIRU","0","0722388702     ","","Sr7       ","","","               ","","","","               ","","Rose                ","5/6/2022 2:28:51 PM","5/6/2022 2:32:16 PM","34"
"JOSKA DISTRIBUTORS K ","","NAIROBI             ","Kenya               ","RUIRU","0","0704881285     ","","Sr7       ","","","               ","","","","               ","","Rose                ","5/6/2022 2:31:02 PM","5/6/2022 2:31:02 PM","35"
"TOP IMAGE HARDWARE","","NAIROBI             ","Kenya               ","KAHAWA","1","0741083795     ","","Sr7       ","","","               ","","","","               ","","Rose                ","5/12/2022 2:43:12 PM","5/12/2022 2:43:12 PM","36"
"KARAMOJO HARDWARE","","NAIROBI             ","Kenya               ","KAHAWA WEST","1","0728495985     ","","Sr7       ","","","               ","","","","               ","","Rose                ","5/12/2022 2:45:43 PM","5/12/2022 2:45:43 PM","37"
"WEST MODERN HARDWARE","","NAIROBI             ","Kenya               ","KAHAWA","1","0724106595     ","","Sr7       ","","","               ","","","","               ","","Rose                ","5/12/2022 2:48:50 PM","5/12/2022 2:48:50 PM","38"
"WINTEK HARDWARE","","NAIROBI             ","Kenya               ","KAHAWA WEST","1","0722176922     ","","Sr7       ","","","               ","","","","               ","","Rose                ","5/12/2022 2:52:32 PM","5/12/2022 2:52:32 PM","39"
"ANCHOR HARDWARE","","NAIROBI             ","Kenya               ","KAHAWA WEST","1","0715745000     ","","Sr7       ","","","               ","","","","               ","","Rose                ","5/12/2022 3:02:25 PM","5/12/2022 3:02:25 PM","40"
"DOTT SERVICES LTD","","KAMPALA             ","Uganda              ","KAMPALA","1","+701772703     ","","Sr7       ","","","               ","","","","               ","","Rose                ","5/17/2022 9:44:30 AM","5/17/2022 9:44:30 AM","41"
"KUSH HARDWARE STORES","","Nairobi             ","Kenya               ","UTAWALA","0","0724085426     ","","Sr7       ","","","               ","","","","               ","","Rose                ","5/20/2022 11:35:06 AM","5/20/2022 11:35:06 AM","42"
"LIMOUSINE GEN HARDWARE","","NAIROBI             ","Kenya               ","RUIRU BY PASS","0","0722565895     ","","Sr7       ","","","               ","","","","0735429423     ","","Rose                ","5/20/2022 11:49:25 AM","5/20/2022 11:49:25 AM","43"
"JJR HARDWORKING","","NAIROBI             ","Kenya               ","RUIRU BY PASS","0","0721103195     ","","Sr7       ","","","               ","","","","               ","","Rose                ","5/20/2022 11:52:12 AM","5/20/2022 11:52:12 AM","44"
"PAINTCRAFT HARDWARE","","NAIROBI             ","Kenya               ","RUIRU BY PASS","0","0722363782     ","","Sr7       ","","","               ","","","","               ","","Rose                ","5/20/2022 11:54:36 AM","5/20/2022 11:54:36 AM","45"
"KITENGELA PAINTS","","NAIROBI             ","Kenya               ","BY PASS MEMBLEY","0","0721293228     ","","Sr7       ","","","               ","","","","               ","","Rose                ","5/24/2022 3:25:32 PM","5/24/2022 3:25:32 PM","46"
"MUTIRITHIA HARDWARE","","NAIROBI             ","Kenya               ","BY PASS MEMBLEY","0","0740447931     ","","Sr7       ","","","               ","","","","               ","","Rose                ","5/24/2022 3:27:00 PM","5/24/2022 3:27:00 PM","47"
"MEGA PLAST HARDWARE","","NAIROBI             ","Kenya               ","BY PASS MEMBLEY","0","0712436227     ","","Sr7       ","","","               ","","","","               ","","Rose                ","5/24/2022 3:31:22 PM","5/24/2022 3:31:22 PM","48"
"JEMI HARDWARE ","","NAIROBI             ","Kenya               ","BY PASS MEMBLEY","0","0722841456     ","","Sr7       ","","","               ","","","","               ","","Rose                ","5/24/2022 3:32:48 PM","5/24/2022 3:32:48 PM","49"
"NEEMA HARDWARE","","NAIROBI             ","Kenya               ","BY PASS MEMBLEY","0","0722246268     ","","Sr7       ","","","               ","","","","               ","","Rose                ","5/24/2022 3:34:17 PM","5/24/2022 3:34:17 PM","50"
"NAFUU HARDWARE","","NAIROBI             ","Kenya               ","BY PASS MEMBLEY","0","0748754448     ","","Sr7       ","","","               ","","","","               ","","Rose                ","5/24/2022 3:35:55 PM","5/24/2022 3:35:55 PM","51"
"CAPITAL HARDWARE","","NAIROBI             ","Kenya               ","BY PASS MEMBLEY","0","0797760408     ","","Sr7       ","","","               ","","","","               ","","Rose                ","5/24/2022 3:40:41 PM","5/24/2022 3:40:41 PM","52"
"ROYALE HARDWARE","","NAIROBI             ","Kenya               ","BY PASS MEMBLEY","0","0796222105     ","","Sr7       ","","","               ","","","","               ","","Rose                ","5/24/2022 3:42:29 PM","5/24/2022 3:42:29 PM","53"
"AHADI HARDWARE","","NAIROBI             ","Kenya               ","BY PASS MEMBLEY","0","0114935979     ","","Sr7       ","","","               ","","","","               ","","Rose                ","5/24/2022 3:44:13 PM","5/24/2022 3:44:13 PM","54"
"NGUVU CONSTRUCTION LTD","","NAIROBI             ","Kenya               ","KITENGELA","0","0722958945     ","","Sr7       ","","","               ","","","","               ","","Rose                ","5/24/2022 3:57:14 PM","5/24/2022 3:57:14 PM","55"
"CAPITAL HARDWARE","","NAIROBI             ","Kenya               ","RUIRU KIHUNGURO","0","0717224334     ","","Sr7       ","","","               ","","","","               ","","Rose                ","5/27/2022 3:02:14 PM","5/27/2022 3:02:14 PM","56"
"OTIUM BUILDERS","","NAIROBI             ","Kenya               ","KAMAKIS","1","0710884458     ","","Sr7       ","","","               ","","","","               ","","Rose                ","6/2/2022 11:05:57 AM","6/2/2022 11:05:57 AM","57"
"MALPHA HARDWARE","","NAIROBI             ","Kenya               ","BY PASS KAMAKIS","1","0718801938     ","","Sr7       ","","","               ","","","","               ","","Rose                ","6/2/2022 11:18:43 AM","6/2/2022 11:18:43 AM","58"
"SILVERLINE HARDWARE","","NAIROBI             ","Kenya               ","BY PASS KAMAKIS","0","0724276967     ","","Sr7       ","","","               ","","","","0724235897     ","","Rose                ","6/2/2022 11:21:06 AM","6/2/2022 11:21:06 AM","59"
"GOLDEN GATE HARDWARE","","NAIROBI             ","Kenya               ","BY PASS KAMAKIS","0","0702020967     ","","Sr7       ","","","               ","","","","               ","","Rose                ","6/2/2022 11:22:32 AM","6/2/2022 11:22:32 AM","60"
"MOBISTAR HARDWARE","","NAIROBI             ","Kenya               ","BY PASS KAMAKIS","1","0719728877     ","johnmobistar@gmail.com","Sr7       ","","","               ","","","","0763809420     ","","Rose                ","6/2/2022 12:03:40 PM","6/2/2022 12:03:40 PM","61"
"Walmart Hardware &amp; Paints","","Nairobi             ","Kenya               ","By Pass Kamakis","1","0722640689     ","walmarthardware@gmail.com","Sr7       ","","","               ","","","","               ","","Rose                ","6/2/2022 1:16:00 PM","6/2/2022 1:16:00 PM","62"
"Mzuri Timber &amp; Hardware","","Nairobi             ","Kenya               ","By Pass Kamakis","1","0794475886     ","info@mzuritimber.co.ke","Sr7       ","","","               ","","","","               ","","Rose                ","6/2/2022 1:48:07 PM","6/2/2022 1:48:07 PM","63"
"City Gate Hardware","","Nairobi             ","Kenya               ","Githurai 45","1","0720050021     ","","Sr7       ","","","               ","","","","               ","","Rose                ","6/2/2022 1:51:53 PM","6/2/2022 1:51:53 PM","64"
"Alika Hardware","","Nairobi             ","Kenya               ","Githurai 45","1","0755806110     ","","Sr7       ","","","               ","","","","               ","","Rose                ","6/2/2022 1:55:02 PM","6/2/2022 1:55:02 PM","65"
"Jmax Hardware ","","Nairobi             ","Kenya               ","Githurai 45 Progressive","1","0729571515     ","","Sr7       ","","","               ","","","","               ","","Rose                ","6/2/2022 1:57:22 PM","6/2/2022 1:57:22 PM","66"
"JEREMO","","Nairobi             ","Kenya               ","Githurai 45 Mumbi","1","0710246032     ","","Sr7       ","","","               ","","","","               ","","Rose                ","6/2/2022 2:46:58 PM","6/2/2022 2:46:58 PM","67"
"Accurate Hardware ","","Nairobi             ","Kenya               ","Githurai 45 Mumbi","1","0721261685     ","","Sr7       ","","","               ","","","","               ","","Rose                ","6/2/2022 3:17:07 PM","6/2/2022 3:17:07 PM","68"
"Danmash Junior Fabricators","","NAIROBI             ","Kenya               ","By pass Membley","0","0757645284     ","","Sr7       ","","","               ","","","","               ","","Rose                ","6/7/2022 4:18:50 PM","6/7/2022 4:18:50 PM","69"
"Ranji Hardware","","Nairobi             ","Kenya               ","By Pass Membley","0","0742577775     ","","Sr7       ","","","               ","","","","               ","","Rose                ","6/7/2022 4:24:50 PM","6/7/2022 4:24:50 PM","70"
"Dymarote Hardware","","Nairobi             ","Kenya               ","By Pass Membley","0","0112242850     ","","Sr7       ","","","0724141503     ","","","","               ","","Rose                ","6/7/2022 4:30:23 PM","6/7/2022 4:30:23 PM","71"
"GeoLive Hardware","","Nairobi             ","Kenya               ","By Pass Membley","0","0748278774     ","","Sr7       ","","","               ","","","","               ","","Rose                ","6/7/2022 4:34:29 PM","6/7/2022 4:34:29 PM","72"
"Upland Fabricators","","Nairobi             ","Kenya               ","By Pass Membley","0","0714112081     ","","Sr7       ","","","               ","","","","               ","","Rose                ","6/7/2022 4:36:02 PM","6/7/2022 4:36:02 PM","73"
"PreJay Hardware","","Nairobi             ","Kenya               ","By Pass Membley","0","0723943942     ","","Sr7       ","","","               ","","","","               ","","Rose                ","6/7/2022 4:41:10 PM","6/7/2022 4:41:10 PM","74"
"Jerima Hardware &amp; Paints","","Nairobi             ","Kenya               ","By Pass Membley","1","0796182801     ","","Sr7       ","","","               ","","","","               ","","Rose                ","6/7/2022 4:56:15 PM","6/7/2022 4:56:15 PM","75"
"Upland Fabricators","","Nairobi             ","Kenya               ","By pass Membley","0","0714112081     ","","Sr7       ","","","               ","","","","               ","","Rose                ","6/13/2022 1:47:15 PM","6/13/2022 1:47:15 PM","76"
"Prejay Hardware","","Nairobi             ","Kenya               ","By Pass Membley","0","0723943942     ","","Sr7       ","","","               ","","","","               ","","Rose                ","6/13/2022 2:16:20 PM","6/13/2022 2:16:20 PM","77"
"Jerima Hardware &amp; Paints","","Nairobi             ","Kenya               ","By pass Membley","0","0796182801     ","","Sr7       ","","","               ","","","","               ","","Rose                ","6/13/2022 2:21:28 PM","6/13/2022 2:21:28 PM","78"
"General","","                    ","Kenya               ","&lt;br&gt;","0","0              ","","Sr7       ","","","               ","","","","               ","","Rose                ","6/13/2022 3:01:43 PM","6/13/2022 3:01:43 PM","79"
"RajaRyply Timber &amp; Hardware","","Nairobi             ","Kenya               ","Kangundo Road","0","0763127097     ","","Sr7       ","","","               ","","","","               ","","Rose                ","6/13/2022 3:45:54 PM","6/13/2022 3:45:54 PM","80"
"Hometex Timber &amp; Hardware","","Nairobi             ","Kenya               ","Kangundo Road","0","0763127097     ","","Sr7       ","","","               ","","","","               ","","Rose                ","6/14/2022 3:43:23 PM","6/14/2022 3:43:23 PM","81"
"Pems Gen supplies&amp; Hardware","","Nairobi             ","Kenya               ","Kangundo Road","0","0724867496     ","","Sr7       ","","","               ","","","","               ","","Rose                ","6/14/2022 3:53:55 PM","6/14/2022 3:53:55 PM","82"
"Chokaa Paints &amp; General Hardware","","Nairobi             ","Kenya               ","Kangundo Road","0","0794978585     ","","Sr7       ","","","               ","","","","               ","","Rose                ","6/14/2022 4:13:20 PM","6/14/2022 4:13:20 PM","83"
"Dream Hse Tiles &amp; Ceramics","","Nairobi             ","Kenya               ","Kangundo Road","0","0727209181     ","","Sr7       ","","","               ","","","","               ","","Rose                ","6/14/2022 4:20:04 PM","6/14/2022 4:20:04 PM","84"
"Handyman Hardware","","Nairobi             ","Kenya               ","Mwiki Kasarani","0","0711149333     ","","Sr7       ","","","               ","","","","               ","","Rose                ","6/14/2022 4:30:31 PM","6/14/2022 4:30:31 PM","85"
"Wabetty Hardware","","Nairobi             ","Kenya               ","Mwiki Kasarani","0","0724501964     ","","Sr7       ","","","               ","","","","               ","","Rose                ","6/14/2022 4:33:44 PM","6/14/2022 4:33:44 PM","86"
"Kamutiini Hardware","","Nairobi             ","Kenya               ","Mwiki Kasarani","0","0727028588     ","","Sr7       ","","","               ","","","","               ","","Rose                ","6/14/2022 4:35:52 PM","6/14/2022 4:35:52 PM","87"
"Leka Hardware","","Nairobi             ","Kenya               ","Ruai","0","0724643140     ","","Sr7       ","","","               ","","","","               ","","Rose                ","6/15/2022 3:38:55 PM","6/15/2022 3:38:55 PM","88"
"Jawai Hardware Ltd","","Nairobi             ","Kenya               ","Ruai","0","0722848213     ","","Sr7       ","","","               ","","","","               ","","Rose                ","6/15/2022 3:48:44 PM","6/15/2022 3:48:44 PM","89"
"Ruai Tiles &amp; Ceramics","","Nairobi             ","Kenya               ","Ruai","0","0711583624     ","","Sr7       ","","","               ","","","","               ","","Rose                ","6/15/2022 3:51:08 PM","6/15/2022 3:51:08 PM","90"
"Kings H/W &amp; Electrical Zone","","Nairobi             ","Kenya               ","Ruai","0","0707136129     ","","Sr7       ","","","               ","","","","               ","","Rose                ","6/15/2022 3:53:50 PM","6/15/2022 3:53:50 PM","91"
"Nyajam Contractors &amp; Gen H ardware","","Nairobi             ","Kenya               ","Ruai","0","0725782271     ","","Sr7       ","","","               ","","","","               ","","Rose                ","6/15/2022 3:58:29 PM","6/15/2022 3:58:29 PM","92"
"Megga Hardware","","Nairobi             ","Kenya               ","Kahawa West","0","0717725759     ","","Sr7       ","","","               ","","","","               ","","Rose                ","6/15/2022 4:01:20 PM","6/15/2022 4:01:20 PM","93"
"Rain Waters Hardware","","Nairobi             ","Kenya               ","Ruai","0","0722783199     ","","Sr7       ","","","               ","","","","               ","","Rose                ","6/23/2022 4:17:31 PM","6/23/2022 4:17:31 PM","94"
"Silko Paints","","Nairobi             ","Kenya               ","Ruai","0","0796404357     ","","Sr7       ","","","               ","","","","               ","","Rose                ","6/23/2022 4:19:38 PM","6/23/2022 4:19:38 PM","95"
"Gwathika Hardware","","Nairobi             ","Kenya               ","Kayole Junction","0","0721525169     ","","Sr7       ","","","               ","","","","               ","","Rose                ","6/23/2022 4:29:13 PM","6/23/2022 4:29:13 PM","96"
"Jopa Hardware","","Nairobi             ","Kenya               ","Kayole Junction","0","0715167716     ","","Sr7       ","","","               ","","","","               ","","Rose                ","6/23/2022 4:37:59 PM","6/23/2022 4:37:59 PM","97"
"Aruitha Hardware","","Nairobi             ","Kenya               ","Kayole Junction","0","0701752170     ","","Sr7       ","","","               ","","","","               ","","Rose                ","6/23/2022 4:39:34 PM","6/23/2022 4:39:34 PM","98"
"BuildVenture Enterprises Hardware","","Nairobi             ","Kenya               ","Kayole Junction","0","0722955748     ","","Sr7       ","","","               ","","","","               ","","Rose                ","6/23/2022 4:44:15 PM","6/23/2022 4:44:15 PM","99"
"Mamata Hardware","","Nairobi             ","Kenya               ","Kayole Junction","0","0769700425     ","","Sr7       ","","","               ","","","","               ","","Rose                ","6/23/2022 4:50:14 PM","6/23/2022 4:50:14 PM","100"
"Jamunje Hardware","","Nairobi             ","Kenya               ","Kayole Junction","0","0725814823     ","","Sr7       ","","","               ","","","","0722449479     ","","Rose                ","6/23/2022 4:52:58 PM","6/23/2022 4:52:58 PM","101"
"Promise Hardware","","Nairobi             ","Kenya               ","Kayole Junction","0","0797266121     ","","Sr7       ","","","               ","","","","               ","","Rose                ","6/23/2022 4:58:23 PM","6/23/2022 4:58:23 PM","102"
"Lim Timber &amp; Hardware","","Nairobi             ","Kenya               ","Kayole Junction","0","0727999207     ","","Sr7       ","","","               ","","","","               ","","Rose                ","6/23/2022 4:59:51 PM","6/23/2022 4:59:51 PM","103"
"Kamunyu Hardware","","Nairobi             ","Kenya               ","Mlolongo","0","0796158844     ","","Sr7       ","","","               ","","","","               ","","Rose                ","6/29/2022 2:17:51 PM","6/29/2022 2:17:51 PM","104"
"Paint &amp;Hardware Supermarket","","Nairobi             ","Kenya               ","Mlolongo","0","0795509297     ","","Sr7       ","","","               ","","","","               ","","Rose                ","6/29/2022 2:19:55 PM","6/29/2022 2:19:55 PM","105"
"Engineering 306","","Nairobi             ","Kenya               ","Mlolongo","0","0722252723     ","","Sr7       ","","","               ","","","","               ","","Rose                ","6/29/2022 2:44:49 PM","6/29/2022 2:44:49 PM","106"
"Pramukh Hardware","","Nairobi             ","Kenya               ","Mlolongo","0","0748811825     ","","Sr7       ","","","               ","","","","               ","","Rose                ","6/29/2022 2:59:38 PM","6/29/2022 2:59:38 PM","107"
"Lampa Hardware","","Nairobi             ","Kenya               ","Utawala","0","0727101619     ","","Sr7       ","","","               ","","","","               ","","Rose                ","6/29/2022 3:00:44 PM","6/29/2022 3:00:44 PM","108"
"Golden Kenzay Hardware","","Nairobi             ","Kenya               ","Utawala","0","0779630070     ","","Sr7       ","","","               ","","","","               ","","Rose                ","6/29/2022 3:12:57 PM","6/29/2022 3:12:57 PM","109"
"Houseman &amp; Hardware","","Nairobi             ","Kenya               ","Utawala","0","0707032869     ","","Sr7       ","","","               ","","","","               ","","Rose                ","6/29/2022 3:14:26 PM","6/29/2022 3:14:26 PM","110"
"Sayona steel &amp; Hardware","","Nairobi             ","Kenya               ","Utawala","0","0712911182     ","","Sr7       ","","","               ","","","","               ","","Rose                ","6/29/2022 3:18:07 PM","6/29/2022 3:18:07 PM","111"
"Grandvis","","Nairobi             ","Kenya               ","Utawala","0","0722554790     ","","Sr7       ","","","               ","","","","               ","","Rose                ","6/29/2022 3:19:20 PM","6/29/2022 3:19:20 PM","112"
"Arya Hardware","","Nairobi             ","Kenya               ","Utawala","0","0721702604     ","","Sr7       ","","","               ","","","","               ","","Rose                ","6/29/2022 3:20:26 PM","6/29/2022 3:20:26 PM","113"
"Maja E Africa Hardware","","Nairobi             ","Kenya               ","Utawala","0","0722703071     ","","Sr7       ","","","               ","","","","               ","","Rose                ","6/29/2022 3:21:49 PM","6/29/2022 3:21:49 PM","114"
"Bam Vision Hardware","","Nairobi             ","Kenya               ","Utawala","0","0714089400     ","","Sr7       ","","","               ","","","","               ","","Rose                ","6/29/2022 3:23:11 PM","6/29/2022 3:23:11 PM","115"
"Karembu Hardware","","Nairobi             ","Kenya               ","Utawala","0","0742988075     ","","Sr7       ","","","               ","","","","               ","","Rose                ","6/29/2022 3:25:50 PM","6/29/2022 3:25:50 PM","116"
"Truck Timber Hardware","","Nairobi             ","Kenya               ","Utawala","0","0721894436     ","","Sr7       ","","","               ","","","","               ","","Rose                ","6/29/2022 3:28:33 PM","6/29/2022 3:28:33 PM","117"
"Rico Build IN","","Nairobi             ","Kenya               ","Utawala","0","0710686914     ","","Sr7       ","","","               ","","","","               ","","Rose                ","6/29/2022 3:30:22 PM","6/29/2022 3:30:22 PM","118"
"Jawama Hardware","","Nairobi             ","Kenya               ","Juja","0","0720332788     ","","Sr7       ","","","               ","","","","               ","","Rose                ","6/30/2022 2:29:01 PM","6/30/2022 2:29:01 PM","119"
"|Familly Hardware","","Nairobi             ","Kenya               ","Juja","0","0718696016     ","","Sr7       ","","","               ","","","","               ","","Rose                ","6/30/2022 2:34:48 PM","6/30/2022 2:34:48 PM","120"
"Peryline Hardware","","Nairobi             ","Kenya               ","Juja","0","0722960766     ","","Sr7       ","","","               ","","","","               ","","Rose                ","6/30/2022 2:38:36 PM","6/30/2022 2:38:36 PM","121"
"Bemaroja Hardware","","Nairobi             ","Kenya               ","Hunters Kasarani","0","0763563657     ","","Sr7       ","","","               ","","","","               ","","Rose                ","7/7/2022 2:48:58 PM","7/7/2022 2:48:58 PM","122"
"Highway Enterprise","","Nairobi             ","Kenya               ","Seasons Kasarani","0","0721899037     ","","Sr7       ","","","               ","","","0743960200","               ","","Rose                ","7/7/2022 2:51:38 PM","7/7/2022 2:51:38 PM","123"
"Marrew Hardwaqre","","Nairobi             ","Kenya               ","Seasons Kasarani","0","0721350714     ","","Sr7       ","","","               ","","","","               ","","Rose                ","7/7/2022 3:01:47 PM","7/7/2022 3:01:47 PM","124"
"Gand Hardware","","Nairobi             ","Kenya               ","Seasons Kasarani","0","0729558490     ","","Sr7       ","","","               ","","","","               ","","Rose                ","7/7/2022 4:47:17 PM","7/7/2022 4:47:17 PM","125"
"North Store Enterprises","","Nairobi             ","Kenya               ","Seasons Kasarani","0","0711890379     ","","Sr7       ","","","               ","","","","               ","","Rose                ","7/7/2022 4:52:47 PM","7/7/2022 4:52:47 PM","126"
"Nakuwess Hardware","","Nakuru              ","Kenya               ","Nakuru","0","0721778125     ","","Sr7       ","","","               ","","","","               ","","Rose                ","7/12/2022 1:33:06 PM","7/12/2022 1:33:06 PM","127"
"Kawamwamba","","Nakuru              ","Kenya               ","Nakuru","0","0727867847     ","","Sr7       ","","","               ","","","","               ","","Rose                ","7/12/2022 1:34:53 PM","7/12/2022 1:34:53 PM","128"
"Sidai Hardware","","Nakuru              ","Kenya               ","Nakuru","0","0722956564     ","","Sr7       ","","","               ","","","","               ","","Rose                ","7/12/2022 1:37:00 PM","7/12/2022 1:37:00 PM","129"
"MM Hardware","","Nakuru              ","Kenya               ","Nakuru","0","0720876125     ","","Sr7       ","","","               ","","","","               ","","Rose                ","7/12/2022 1:39:49 PM","7/12/2022 1:39:49 PM","130"
"Tjimmy Hardware","","Nakuru              ","Kenya               ","Nakuru","0","0725142992     ","","Sr7       ","","","               ","","","","               ","","Rose                ","7/12/2022 1:41:58 PM","7/12/2022 1:41:58 PM","131"
"Seclam Hardware","","Nakuru              ","Kenya               ","Nakuru","0","0705655235     ","","Sr7       ","","","               ","","","","               ","","Rose                ","7/12/2022 1:46:36 PM","7/12/2022 1:46:36 PM","132"
"Sururu Hardware","","Nakuru              ","Kenya               ","Nakuru","0","0720802162     ","","Sr7       ","","","               ","","","","               ","","Rose                ","7/12/2022 1:58:22 PM","7/12/2022 1:58:22 PM","133"
