"date","documenttype","documentno","narration","journalno","whtax","VendorID"
"1/7/2017 12:00:00 AM","23","200                 ","240mt clearance Taxes(B1)","Jv3763              ","","cr30597             "
"1/7/2017 12:00:00 AM","23","201                 ","240mt clearance extra takes(B2)","Jv3764              ","","cr30597             "
"1/6/2017 12:00:00 AM","23","202                 ","Terminal handling charges(240Mt)","Jv3765              ","","cr30597             "
"1/6/2017 12:00:00 AM","23","203                 ","Container deposit(240mt)","Jv3766              ","","cr30597             "
"1/20/2017 12:00:00 AM","23","204                 ","240mt Demurrage charges","Jv3767              ","","cr30597             "
"1/18/2017 12:00:00 AM","23","205                 ","240MT assorted Storage cost","Jv3768              ","","cr30597             "
"1/30/2017 12:00:00 AM","23","206                 ","240mt transport charges","Jv3769              ","","cr468               "
"3/30/2017 12:00:00 AM","23","207                 ","March 2017 NHIF Payable","Jv3774              ","","cr515               "
"3/30/2017 12:00:00 AM","23","208                 ","March 2017 NSSF payable","Jv3775              ","","cr514               "
"4/30/2017 12:00:00 AM","23","209                 ","April 2017 NHIF payable ","Jv3776              ","","cr515               "
"4/30/2017 12:00:00 AM","23","210                 ","April 2017 NSSF payable","Jv3777              ","","cr514               "
"4/13/2017 12:00:00 AM","23","211                 ","Purchase diesel400L","Jv3818              ","","cr447               "
"4/30/2017 12:00:00 AM","23","214                 ","April Daniel Mbugua transport charges","Jv3904              ","","cr583               "
"4/26/2017 12:00:00 AM","23","172                 ","","Jv3333              ","","cr372               "
"3/7/2017 12:00:00 AM","23","175                 ","March sanitation services","Jv3351              ","","cr380               "
"4/7/2017 12:00:00 AM","23","176                 ","April sanitation service","Jv3352              ","","cr380               "
"3/28/2017 12:00:00 AM","23","177                 ","March security services","Jv3353              ","","cr354               "
"4/25/2017 12:00:00 AM","23","178                 ","April security services","Jv3354              ","","cr354               "
"4/30/2017 12:00:00 AM","23","179                 ","April 2017 motor vehicle fuel","Jv3369              ","","cr473               "
"3/18/2017 12:00:00 AM","23","180                 ","installation of OS &amp; processor replacement","Jv3414              ","","cr40606             "
"4/30/2017 12:00:00 AM","23","182                 ","April 2017 Water bill","Jv3417              ","","cr371               "
"4/30/2017 12:00:00 AM","23","183                 ","April 2017 Cosultancy","Jv3419              ","","cr369               "
"10/21/2016 12:00:00 AM","23","184                 ","260mt clearance charges(B TAXES)","Jv3472              ","","cr30597             "
"10/21/2016 12:00:00 AM","23","185                 ","260mt clearance charges(B EXTRA TAXES)","Jv3475              ","","cr30597             "
"10/22/2016 12:00:00 AM","23","186                 ","","Jv3477              ","","cr30597             "
"10/19/2016 12:00:00 AM","23","187                 ","Shipping line charges(2,000USD)","Jv3479              ","","cr30597             "
"10/19/2016 12:00:00 AM","23","188                 ","container deposit(01640) usd6809.4","Jv3480              ","","cr30597             "
"3/20/2017 12:00:00 AM","23","189                 ","transport charges to China Aero-technology","Jv3523              ","","cr40609             "
"3/24/2017 12:00:00 AM","23","190                 ","transport to Mlolongo to Gulf Asphalt","Jv3539              ","","cr40609             "
"4/11/2017 12:00:00 AM","23","212                 ","Purchase diesel 400L","Jv3849              ","","cr447               "
"3/31/2017 12:00:00 AM","23","213                 ","March Daniel Mbugua transport charges","Jv3902              ","","cr583               "
"4/6/2017 12:00:00 AM","23","215                 ","K3-60 stickers printed","Jv3930              ","","cr30599             "
"4/6/2017 12:00:00 AM","23","216                 ","printed sticker K3-60 ","Jv3931              ","","cr30599             "
"3/24/2017 12:00:00 AM","23","217                 ","Petty cash vouchers","Jv3933              ","","cr30599             "
"5/25/2017 12:00:00 AM","23","219                 ","May 2017 Security services","Jv4029              ","","cr354               "
"5/31/2017 12:00:00 AM","23","220                 ","May 2017 Water bill","Jv4031              ","","cr371               "
"5/31/2017 12:00:00 AM","23","221                 ","May 2017 motor vehicle fuel","Jv4032              ","","cr473               "
"4/3/2017 12:00:00 AM","23","222                 ","purchase of 30pcs of empty drums","Jv4033              ","","cr30594             "
"5/6/2017 12:00:00 AM","23","223                 ","","Jv4054              ","","cr582               "
"5/4/2017 12:00:00 AM","23","224                 ","Transport charges to meru","Jv4062              ","","cr40609             "
"5/31/2017 12:00:00 AM","23","225                 ","May 2017 consultancy","Jv4139              ","","cr369               "
"5/31/2017 12:00:00 AM","23","226                 ","Mr. Miana 2014 2015 annual rental accounts","Jv4143              ","","cr369               "
"5/31/2017 12:00:00 AM","23","227                 ","May 2017 electricity bill","Jv4154              ","","cr372               "
"5/16/2017 12:00:00 AM","23","228                 ","transport to China Wuyi Machakos","Jv4174              ","","cr40609             "
"5/20/2017 12:00:00 AM","23","230                 ","Trnspt frm Tuffsteel to China-Aero tech &amp; frm Tuffsteel to QBPL","Jv4195              ","","cr583               "
"5/25/2017 12:00:00 AM","21","231                 ","CORRECTION OF WRONG EXPENSE POSTING","Jv4202              ","","cr354               "
"5/25/2017 12:00:00 AM","23","232                 ","May 2017 Security services","Jv4203              ","","cr354               "
"6/12/2017 12:00:00 AM","23","234                 ","KCG 726A insurance","Jv4267              ","","cr531               "
"6/21/2017 12:00:00 AM","23","235                 ","KBK 650M Insurance","Jv4283              ","","cr531               "
"5/8/2017 12:00:00 AM","23","236                 ","","Jv4284              ","","cr380               "
"5/8/2017 12:00:00 AM","23","237                 ","May sanitation services","Jv4285              ","","cr380               "
"6/8/2017 12:00:00 AM","23","238                 ","June sanitary services","Jv4286              ","","cr380               "
"3/3/2017 12:00:00 AM","23","239                 ","Design the holiday footer for email","Jv4287              ","","cr30599             "
"6/27/2017 12:00:00 AM","23","240                 ","June 2017 Security services","Jv4384              ","","cr354               "
"6/30/2017 12:00:00 AM","23","241                 ","June 2017 consultancy","Jv4437              ","","cr369               "
"6/30/2017 12:00:00 AM","23","242                 ","June 2017 Water and Sewerage bill","Jv4438              ","","cr371               "
"6/30/2017 12:00:00 AM","23","243                 ","June 2017 Motor v. fuel","Jv4439              ","","cr473               "
"5/25/2017 12:00:00 AM","23","244                 ","2017 medical cover","Jv4440              ","","cr538               "
"5/29/2017 12:00:00 AM","23","245                 ","Additional medical insurance 2017","Jv4441              ","","cr538               "
"6/30/2017 12:00:00 AM","23","247                 ","June 2017 Electricity bill","Jv4491              ","","cr372               "
"7/13/2017 12:00:00 AM","23","249                 ","12pcs of petty cash vouchers","Jv4495              ","","cr50612             "
"5/29/2017 12:00:00 AM","23","250                 ","","Jv4615              ","","cr447               "
"5/31/2017 12:00:00 AM","23","251                 ","transport to SS Mehta &amp; Mumias deposit","Jv4623              ","","cr583               "
"7/25/2017 12:00:00 AM","23","252                 ","July security services","Jv4638              ","","cr354               "
"6/2/2017 12:00:00 AM","23","253                 ","Purchase of 14 pairs of safety boots","Jv4663              ","","cr469               "
"8/1/2017 12:00:00 AM","23","254                 ","Purchase of 400L of diesel","Jv4667              ","","cr447               "
"7/31/2017 12:00:00 AM","23","255                 "," July 2017 water bill","Jv4707              ","","cr371               "
"7/31/2017 12:00:00 AM","23","256                 ","July motor vehicle fuel","Jv4727              ","","cr473               "
"1/31/2014 12:00:00 AM","23","258                 ","Purchase of bitumen","Jv4735              ","","cr441               "
"7/31/2017 12:00:00 AM","23","260                 ","July Electricity bill","Jv4736              ","","cr372               "
"7/20/2017 12:00:00 AM","23","261                 ","July consultancy","Jv4741              ","","cr369               "
"8/17/2017 12:00:00 AM","23","262                 ","August consultancy","Jv4742              ","","cr369               "
"6/12/2017 12:00:00 AM","23","264                 ","Transport to deliver K1-60 to Intelet comp.","Jv4806              ","","cr583               "
"8/18/2017 12:00:00 AM","23","265                 ","Purchase of 10pcs of delivery voucher","Jv4811              ","","cr50612             "
"8/18/2017 12:00:00 AM","23","266                 ","Purchase of 400L diesel","Jv4817              ","","cr447               "
"6/30/2017 12:00:00 AM","23","248                 ","June 2017 Sanitary services","Jv4492              ","","cr380               "
"6/13/2017 12:00:00 AM","23","267                 ","Transport charges to Chna Wuyi Machakos","Jv4823              ","","cr583               "
"6/29/2017 12:00:00 AM","23","269                 ","Purchase of kerosene and diesel","Jv4845              ","","cr40612             "
"6/14/2017 12:00:00 AM","23","270                 ","transport charges to","Jv4873              ","","cr583               "
"6/16/2017 12:00:00 AM","23","271                 ","Purchase of empty drums","Jv4903              ","","cr30600             "
"6/24/2017 12:00:00 AM","23","272                 ","Purchase 400L of diesel","Jv4946              ","","cr447               "
"5/16/2017 12:00:00 AM","23","273                 ","Transport charges","Jv4995              ","","cr40609             "
"7/3/2017 12:00:00 AM","23","274                 ","Transport charges to China wuyi Machakos","Jv4996              ","","cr40609             "
"8/4/2017 12:00:00 AM","23","276                 ","Transport charges","Jv4999              ","","cr583               "
"7/17/2017 12:00:00 AM","23","277                 ","Transport charges to China Wuyi","Jv5067              ","","cr583               "
"7/19/2017 12:00:00 AM","23","278                 ","Transport charges to Machakos to deliver products","Jv5079              ","","cr40609             "
"8/23/2017 12:00:00 AM","23","279                 ","Trnsport charges to Machakos","Jv5083              ","","cr583               "
"7/20/2017 12:00:00 AM","23","281                 ","Transport charges to Tai,Lesma &amp; China Wuyi","Jv5084              ","","cr583               "
"8/24/2017 12:00:00 AM","23","282                 ","August security bill","Jv5138              ","","cr354               "
"8/28/2017 12:00:00 AM","23","283                 ","Domain renewal Aug2017 to Aug 2018","Jv5139              ","","cr348               "
"8/4/2017 12:00:00 AM","23","284                 ","July Sanitary services","Jv5177              ","","cr380               "
"8/3/2017 12:00:00 AM","23","285                 ","Transport to China Wuyi Machakos","Jv5195              ","","cr40609             "
"8/3/2017 12:00:00 AM","23","286                 ","Transport charges to MBSA","Jv5209              ","","cr583               "
"8/31/2017 12:00:00 AM","23","287                 ","August 2017 water bill","Jv5234              ","","cr371               "
"7/6/2017 12:00:00 AM","23","288                 ","June 2017 Sanitary services","Jv5317              ","","cr380               "
"1/30/2017 12:00:00 AM","23","289                 ","Purchase of 100pcs of drums","Jv5335              ","","cr483               "
"8/24/2017 12:00:00 AM","23","290                 ","Transport charges to China Wuyi(Machakos)","Jv5347              ","","cr583               "
"8/29/2017 12:00:00 AM","23","291                 ","purchase of 14pcs of empty drums","Jv5375              ","","cr30600             "
"9/2/2017 12:00:00 AM","23","292                 ","Purchase of 50pcs of empty drums","Jv5397              ","","cr30594             "
"8/31/2017 12:00:00 AM","23","293                 ","August 2017 motor vehicle fuel","Jv5417              ","","cr473               "
"8/31/2017 12:00:00 AM","23","294                 ","purchase of 40 drum bitumen 80/100(183kg)","Jv5423              ","","cr590               "
"8/31/2017 12:00:00 AM","23","295                 ","August 2017 Electricity bill","Jv5431              ","","cr372               "
"8/23/2017 12:00:00 AM","23","296                 ","Pests control","Jv5529              ","","cr380               "
"9/7/2017 12:00:00 AM","23","297                 ","August Sanitation","Jv5530              ","","cr380               "
"9/27/2017 12:00:00 AM","23","298                 ","fire equipments service","Jv5535              ","","cr512               "
"9/28/2017 12:00:00 AM","23","299                 ","September 2017 Security","Jv5544              ","","cr354               "
"9/30/2017 12:00:00 AM","23","300                 ","September 2017 motor vehicle fuel","Jv5566              ","","cr473               "
"7/12/2017 12:00:00 AM","23","301                 ","Purchase of 19 drums of bitumen 60/70","Jv5567              ","","cr556               "
"10/3/2017 12:00:00 AM","23","302                 ","Printed coloured buss. card","Jv5572              ","","cr50612             "
"9/30/2017 12:00:00 AM","23","303                 ","September 2017 Water bill","Jv5581              ","","cr371               "
"3/27/2017 12:00:00 AM","23","304                 ","March 2017 PAYE","Jv5619              ","","cr513               "
"4/26/2017 12:00:00 AM","23","305                 ","April 2017 PAYE Payable","Jv5620              ","","cr513               "
"5/26/2017 12:00:00 AM","23","306                 ","May 2017 NHIF payable","Jv5621              ","","cr515               "
"5/26/2017 12:00:00 AM","23","307                 ","May 2017 NSSF payable","Jv5622              ","","cr514               "
"5/26/2017 12:00:00 AM","23","308                 ","May 2017 PAYE Payable","Jv5623              ","","cr513               "
"6/26/2017 12:00:00 AM","23","309                 ","June 2017 NHIF payable","Jv5624              ","","cr515               "
"6/26/2017 12:00:00 AM","23","310                 ","June 2017 NSSF payable","Jv5626              ","","cr514               "
"7/26/2017 12:00:00 AM","23","311                 ","July 2017 NHIF payable","Jv5627              ","","cr515               "
"7/26/2017 12:00:00 AM","23","312                 ","July 2017 NSSF Payable","Jv5628              ","","cr514               "
"7/26/2017 12:00:00 AM","23","313                 ","July 2017 PaYE payable","Jv5629              ","","cr513               "
"8/26/2017 12:00:00 AM","23","314                 ","August 2017 NHIF payable","Jv5630              ","","cr515               "
"8/26/2017 12:00:00 AM","23","315                 ","August 2017 NSSF payable","Jv5631              ","","cr514               "
"8/26/2017 12:00:00 AM","23","316                 ","August 2017 PAYE payable","Jv5632              ","","cr513               "
"6/26/2017 12:00:00 AM","23","317                 ","June 2017 PAYE payable","Jv5635              ","","cr513               "
"9/26/2017 12:00:00 AM","23","318                 ","September  NHIF payable","Jv5637              ","","cr515               "
"9/26/2017 12:00:00 AM","23","319                 ","September 2017 NSSF payable","Jv5639              ","","cr514               "
"9/26/2017 12:00:00 AM","23","320                 ","SEptember 2017 PAYE payable","Jv5642              ","","cr513               "
"9/26/2017 12:00:00 AM","23","321                 ","SEptember 2017 Consultancy","Jv5646              ","","cr369               "
"9/21/2017 12:00:00 AM","23","322                 ","Transport charges to Tai construction","Jv5654              ","","cr583               "
"9/22/2017 12:00:00 AM","23","323                 ","Purchase of 16 pcs of empty drums","Jv5656              ","","cr30600             "
"9/29/2017 12:00:00 AM","23","324                 ","Purchase of 5pcs of empty drums","Jv5685              ","","cr30600             "
"9/30/2017 12:00:00 AM","23","325                 ","Purchase of 50pcs of empty durms","Jv5697              ","","cr30600             "
"9/30/2017 12:00:00 AM","23","326                 ","Transport charges to Bungoma(Multi-Gibbs const.)","Jv5700              ","","cr583               "
"3/20/2017 12:00:00 AM","23","327                 ","Renewal of business permit licences","Jv5703              ","","cr565               "
"7/25/2017 12:00:00 AM","23","328                 ","voice cable replacement &amp; labour","Jv5704              ","","cr348               "
"10/2/2017 12:00:00 AM","23","329                 ","Transport charges to deliver product to Multi-Gibbs at Bungoma(final payment)","Jv5711              ","","cr583               "
"2/7/2017 12:00:00 AM","23","332                 ","Holiday logo design","Jv5761              ","","cr30599             "
"1/11/2017 12:00:00 AM","23","333                 ","printing of petty cash","Jv5762              ","","cr30599             "
"2/2/2017 12:00:00 AM","23","334                 ","printing of delivery books","Jv5763              ","","cr30599             "
"4/18/2017 12:00:00 AM","23","335                 ","purchase of empty drums clear bal","Jv5766              ","","cr30600             "
"3/23/2017 12:00:00 AM","23","336                 ","upgrade of anti-virus software","Jv5767              ","","cr40606             "
"3/23/2017 12:00:00 AM","23","337                 ","Biometric, printer maintenance &amp; controller","Jv5768              ","","cr348               "
"8/3/2017 12:00:00 AM","23","338                 ","Transport charges to deliver products","Jv5769              ","","cr40609             "
"4/18/2017 12:00:00 AM","23","339                 ","purchase of empty drums","Jv5772              ","","cr30594             "
"8/31/2017 12:00:00 AM","23","341                 ","Mbsa rent for aug &amp; sept payment","Jv5773              ","","cr582               "
"6/30/2017 12:00:00 AM","23","342                 ","Payment for June and July payment","Jv5774              ","","cr582               "
"6/5/2017 12:00:00 AM","23","343                 ","Purchase of diesel for bitumen heating","Jv5781              ","","cr447               "
"9/30/2017 12:00:00 AM","23","345                 ","Sept. electricity bill ","Jv5793              ","","cr372               "
"10/25/2017 12:00:00 AM","23","346                 ","Oct security services","Jv5796              ","","cr354               "
"10/31/2017 12:00:00 AM","23","347                 ","Oct water bill","Jv5797              ","","cr371               "
"10/31/2017 12:00:00 AM","23","348                 ","Oct electricity bill","Jv5798              ","","cr372               "
"11/25/2017 12:00:00 AM","23","349                 ","","Jv5903              ","","cr354               "
"10/7/2017 12:00:00 AM","23","350                 ","Sanitation September","Jv5904              ","","cr380               "
"11/7/2017 12:00:00 AM","23","351                 ","October sanitation","Jv5905              ","","cr380               "
"10/30/2017 12:00:00 AM","23","352                 ","October pest control","Jv5906              ","","cr380               "
"11/30/2017 12:00:00 AM","23","353                 ","Nov 2017 water bill","Jv5961              ","","cr371               "
"10/4/2017 12:00:00 AM","23","354                 ","Transport chrges to deliver Bitumen 80/100 to Damavand ","Jv6026              ","","cr40609             "
"10/31/2017 12:00:00 AM","23","355                 ","October Motor vehicle fuel. ","Jv6078              ","","cr473               "
"11/30/2017 12:00:00 AM","23","356                 ","November 2017 motor vehicle fuel","Jv6079              ","","cr473               "
"12/18/2017 12:00:00 AM","23","358                 ","Dec security bill exp.","Jv6102              ","","cr354               "
"11/10/2017 12:00:00 AM","23","360                 ","purchase of  4 buckets of bitushield type 5","Jv6138              ","","cr553               "
"10/22/2017 12:00:00 AM","23","361                 ","October 2017 Consultancy","Jv6145              ","","cr369               "
"11/22/2017 12:00:00 AM","23","362                 ","November 2017 Consultancy","Jv6146              ","","cr369               "
